N,price,dividend
594,41.87368421,2.749282297
595,42.021875,2.7625
596,41.36945813,2.830541872
597,43.48175,2.873
598,43.75577889,2.831909548
599,41.74444444,2.846212121
600,38.78891753,2.904896907
601,41.35026316,2.966052632
602,42.39836957,3.002717391
603,41.5431694,3.019125683
604,42.18535912,2.991436464
605,44.44971751,3.059039548
606,41.12357955,3.076420455
607,40.76638418,2.996610169
608,40.26694915,2.996610169
609,41.73742857,2.967714286
610,42.30571429,2.967714286
611,44.83505747,2.921264368
612,46.69104046,2.938150289
613,47.73076923,3.007692308
614,48.77692308,3.073076923
615,51.21377246,3.10988024
616,54.32365269,3.176047904
617,56.44101796,3.176047904
618,55.91167665,3.242215569
619,55.9735119,3.222916667
620,58.77801205,3.261746988
621,60.30903614,3.328313253
622,61.27125749,3.308383234
623,57.88095238,3.354464286
624,57.40769231,3.334615385
625,58.53869048,3.354464286
626,61.03809524,3.354464286
627,62.02470238,3.420238095
628,59.5,3.4
629,56.68846154,3.4
630,54.21,3.38
631,51.78081395,3.340697674
632,52.34210526,3.360233918
633,52.35901163,3.40494186
634,51.28988439,3.385260116
635,52.82283237,3.385260116
636,54.61127168,3.385260116
637,56.39971098,3.385260116
638,56.98459302,3.40494186
639,56.21929825,3.489473684
640,55.25,3.51
641,55.055,3.51
642,56.095,3.51
643,58.35175439,3.489473684
644,60.71,3.51
645,59.77339181,3.554093567
646,58.65494186,3.533430233
647,61.93139535,3.533430233
648,64.89479769,3.51300578
649,67.57745665,3.51300578
650,68.54854651,3.597674419
651,66.36387283,3.576878613
652,66.04302326,3.661918605
653,67.76907514,3.640751445
654,68.19428571,3.662285714
655,69.29661017,3.620903955
656,70.23305085,3.620903955
657,71.85621469,3.683333333
658,74.22853107,3.683333333
659,75.26277778,3.683333333
660,76.91787709,3.703910615
661,78.09078212,3.765642458
662,78.21424581,3.827374302
663,73.31488764,3.848876404
664,70.86815642,3.889106145
665,71.76292135,3.973033708
666,75.6019774,4.057909605
667,79.68628571,4.104285714
668,83.31954023,4.19137931
669,84.10628571,4.230571429
670,81.74488636,4.269318182
671,82.34435028,4.24519774
672,84.21723164,4.307627119
673,84.61142857,4.42
674,86.74885057,4.445402299
675,88.5916185,4.534971098
676,90.7632948,4.598843931
677,93.35344828,4.572413793
678,93.48551136,4.583238636
679,97.21445087,4.726589595
680,102.9834302,4.754069767
681,108.200578,4.790462428
682,105.9275862,4.826436782
683,108.967052,4.85433526
684,111.5219653,4.918208092
685,111.9690751,4.982080925
686,111.9216374,5.040350877
687,117.9312865,5.10497076
688,125.3625731,5.169590643
689,128.4883721,5.139534884
690,122.9070175,5.234210526
691,123.8116959,5.298830409
692,127.8181287,5.298830409
693,135.2187861,5.301445087
694,138.7674419,5.396511628
695,148.147093,5.396511628
696,149.5950292,5.492690058
697,160.6450292,5.557309942
698,161.4850877,5.621929825
699,165.295,5.72
700,165.2923077,5.819230769
701,166.79,5.85
702,168.9809942,5.880409357
703,181.9098266,5.876300578
704,192.2572254,5.94017341
705,199.9219653,6.004046243
706,178.7800578,6.067919075
707,131.450289,6.131791908
