,KS p-value normal,KS p-value student,KS p-value stable,t-Student nu,levy alpha,levy beta,levy mu,levy sigma,levy neglog
LBIRD.PA,1.5231480731146997e-33,4.863138489117305e-40,2.497477912618361e-10,17.38066406250004,1.434238992571427,0.11824457247484332,-0.05877787744533712,0.2965383311136733,2401.6425402944324
LECS.PA,3.672153370130755e-13,1.2460435670685695e-12,2.089879275517446e-07,8.544433593750016,1.5121887234345708,0.09756185111047777,-0.04729517883641477,0.4865146143444445,3644.13576302813
ABS.PA,4.345927622794941e-18,3.0225955396089674e-21,5.423444027295188e-09,8.353027343750016,1.446273701470984,0.25703431582229525,-0.11733425178216451,0.3696726015624446,2109.4295756598663
ALKLK.PA,0.0007997701915114262,0.0001000816036464395,0.054494299490251676,7.403710937500015,1.1767566535825036,-0.010504303211132854,-0.04159300854918782,0.3636900686693379,512.5632426187804
BZDK.PA,2.4836339228501336e-13,7.055243142960793e-19,0.0002984681767214605,8.126171875000017,1.3980616001366757,0.060894412132475796,-0.01946924322423747,0.4270908435142412,3341.6550737050848
ALKEY.PA,7.865538628838723e-76,5.458551764500594e-70,1.2978404581406812e-190,5.43486328125001,0.5,0.21726502994984595,-0.04634597493403636,1e-06,-5937.243319684967
ALLIX.PA,1.6146981458615793e-07,7.959382515714768e-06,0.00018152130582951598,7.302832031250013,1.325543214125862,0.14445730990113873,-0.11631586988967409,0.365959997436398,744.7894392187784
CAFO.PA,1.5076413415954265e-61,1.894582033595891e-58,5.239101968667353e-46,6.503710937500011,0.5,-0.12485446848012183,0.0019612094654593696,0.04962805549609782,1947.8304848906212
VIAD.PA^G17,8.799240589502598e-08,9.680493000721371e-06,0.25060402693515843,7.739550781250015,1.4095618456452979,0.06026712847772998,-0.05876022416874135,0.4101190611824459,725.4763730456926
ALWEB.PA,7.469450592914986e-22,3.902722346825094e-26,1.0827624859159637e-19,7.733496093750015,0.8136968169208975,-0.013934919442536067,-0.032745072340569614,0.2425401362000336,3396.453200248413
ATAR.PA,6.348419268340185e-47,2.2958376126234827e-48,1.6756879455760552e-51,8.254785156250016,0.5,-0.10505951852592402,0.0014933346914114804,0.02354765761047006,2138.4063072808513
GENX.PA,8.334304590821075e-35,2.2920702803935273e-34,3.533441850762499e-24,9.378222656250019,1.4212775500140553,0.1037062398183774,-0.06633037649055312,0.3863492323808797,3166.658032556366
PHARN.PA,3.8643532145161817e-10,4.005203191926576e-17,2.3060363302796102e-30,5.621875000000009,0.895671515053511,-0.2649616904241411,-0.01423235069334611,0.1641846326711425,283.5164435010565
ERYP.PA,1.046785271590463e-10,1.3446978453480619e-08,1.2366747912933712e-06,9.60097656250002,1.6092780699296896,0.40829722185303025,-0.10697100949979381,0.4053543719825134,1265.0168473649933
ALREA.PA,1.4408781432791333e-14,4.297910871626313e-15,9.760771049748279e-05,7.195898437500014,0.5,0.0015287454294581559,-0.06184236283954573,0.09259542113563754,855.3146172280832
PARP.PA,1.5488808604275776e-26,1.958219750468512e-23,6.716593349243077e-13,7.204882812500013,1.3885968757916012,0.07066461568612972,-0.04996440943601085,0.41566140481661723,3449.1894857744433
ADUX.PA,1.451618231530813e-18,1.5094993020845323e-14,2.1597412826687955e-06,7.856542968750015,1.4545291012915655,0.1292659585805208,-0.061230969410012125,0.43699724913049476,3460.238866370243
LFDE.PA,2.580348114613463e-05,6.325146065075205e-06,0.11983910881672627,7.306445312500013,1.1693120394388514,-0.026515042218529968,-0.04700368245767156,0.3221056090389087,454.8273987264671
BATD.PA,5.649105997871641e-10,5.252485648496468e-11,5.2619824962700605e-12,9.531054687500017,1.536786802875529,0.21390775871239412,-0.061999171666219634,0.48005729016194165,3570.0110959534222
AUER.PA,2.6776154839267565e-08,1.807867176044555e-10,0.001370977087224826,8.882031250000015,1.5811227041692926,0.0004960919329094685,0.007113387384840521,0.5100609987376268,3669.755459824763
CTRG.PA,1.9391616304857345e-34,5.298406885730155e-34,1.4174206253092537e-15,6.10322265625001,0.7778079324016289,-0.02394526677372667,-0.03395400130689088,0.18697034660193648,2904.415454215996
BGBN.PA,1.5052598443539673e-10,1.3026798314867601e-11,1.0850668414103711e-09,9.219531250000017,1.544728961003172,0.21905420556051128,-0.07653236468499758,0.5037487373144243,3676.7247537304575
RIBE.PA,3.6926803070334185e-38,1.8646100482324086e-41,1.465615337748505e-34,7.099121093750012,1.1631204567064493,-0.02037999937527875,-0.045768602455402735,0.30316979073212114,3061.646401020944
LDSV.PA,7.324000800113923e-28,3.869977874439673e-30,8.354952606725474e-09,6.651562500000011,1.1118520229539266,-0.012975267817011872,-0.01075535150309761,0.295216432337364,3105.4918677412293
ALHPC.PA,3.679949850010954e-15,2.1749637182169483e-23,5.650117880852865e-07,7.2268554687500135,1.302429296929228,0.05478604377463392,-0.04396297144128524,0.39606119551508906,3466.467581816989
OREGE.PA,7.769290054780574e-19,2.225686377145351e-15,7.376084222671289e-21,7.283886718750013,0.5000000000000001,-0.042445909487768295,-0.027116198176650202,0.04659227734274656,1322.6321620074114
STEN.PA,2.558643331671754e-19,4.04661121226576e-28,0.00014639660677748923,8.062109375000015,1.3179736795875243,0.055980662565760016,-0.053580713166455615,0.3141029118077835,1837.0807887268438
POXEL.PA,1.672708815637291e-08,1.577315296140757e-11,2.7454677020364146e-05,7.074804687500014,1.4131797121332903,0.2621756055792451,-0.12835835831693787,0.34808162008911064,770.8192212871621
AUBT.PA,2.8562197864827177e-12,1.0876945764400968e-17,2.0026284421668056e-11,8.256640625000015,1.365756587668802,0.09496009391344516,-0.042318122213628906,0.42874993916317156,3557.5424779166756
YAS.PA,6.271760445402245e-20,9.558011829600179e-24,1.3695779603264497e-30,7.640820312500014,1.3927451035570926,0.13582276282520309,-0.07602410179504525,0.42173252592793464,3481.3292030408766
