country,year,loggdp,loginv,logpop,loghcap
FIN,1965,,-1.297443,14.90002,
FIN,1966,,-1.292506,14.90878,
FIN,1967,,-1.345695,14.91878,
FIN,1968,-4.158878,-1.429358,14.92803,
FIN,1969,-4.06727,-1.397567,14.93098,2.15034
FIN,1970,-3.995225,-1.300747,14.93098,2.154751
FIN,1971,-3.978138,-1.254698,14.93719,2.165888
FIN,1972,-3.914643,-1.239831,14.9482,2.177024
FIN,1973,-3.856435,-1.207602,14.9575,2.188161
FIN,1974,-3.832214,-1.173267,14.96513,2.199297
FIN,1975,-3.819696,-1.119148,14.9705,2.210434
FIN,1976,-3.820801,-1.250604,14.97428,2.220661
FIN,1977,-3.820319,-1.269944,14.9771,2.230887
FIN,1978,-3.798385,-1.379723,14.98085,2.241114
FIN,1979,-3.735253,-1.40259,14.9852,2.251341
FIN,1980,-3.689683,-1.328189,14.98954,2.261565
FIN,1981,-3.683857,-1.331574,14.99632,2.267807
FIN,1982,-3.661708,-1.333075,15.00396,2.274391
FIN,1983,-3.639631,-1.320703,15.01095,2.281331
FIN,1984,-3.615991,-1.375911,15.01728,2.288618
FIN,1985,-3.587614,-1.368585,15.02118,2.296235
FIN,1986,-3.562886,-1.393006,15.02238,2.303664
FIN,1987,-3.52882,-1.369132,15.02328,2.311594
FIN,1988,-3.479075,-1.321985,15.02328,2.319993
FIN,1989,-3.42663,-1.225802,15.02357,2.328867
FIN,1990,-3.428498,-1.25724,15.02626,2.335585
FIN,1991,-3.497137,-1.41784,15.03042,2.342796
FIN,1992,-3.539645,-1.621416,15.03486,2.353449
FIN,1993,-3.552133,-1.806274,15.03811,2.360156
FIN,1994,-3.51935,-1.857836,15.04046,2.367211
FIN,1995,-3.482605,-1.791801,15.04222,2.380259
FIN,1996,-3.448386,-1.759555,15.04427,2.389991
FIN,1997,-3.392181,-1.688456,15.0472,2.425882
FIN,1998,-3.345986,-1.654684,15.05156,2.4366
FIN,1999,-3.311613,-1.633609,15.05533,2.447767
FIN,2000,-3.265319,-1.627043,15.05793,2.454087
FIN,2001,-3.241605,-1.593692,15.06024,2.460375
FIN,2002,-3.227039,-1.666741,15.06197,2.466174
FIN,2003,-3.21089,-1.699046,15.0634,2.473618
FIN,2004,-3.178136,-1.67485,15.06513,2.483522
FRA,1960,,,17.15904,
FRA,1961,,,17.16724,
FRA,1962,,,17.18755,
FRA,1963,,,17.20787,
FRA,1964,,-1.454952,17.21907,
FRA,1965,,-1.437818,17.2289,
FRA,1966,,-1.420875,17.2371,
FRA,1967,,-1.415411,17.24432,
FRA,1968,-3.998104,-1.435886,17.25156,
FRA,1969,-3.930557,-1.431647,17.25999,2.158147
